Date,Asset 1,Asset 2
07-03-2018,175.03,125.72
08-03-2018,176.94,125.42
09-03-2018,179.98,125.54
12-03-2018,181.72,125.54
13-03-2018,179.97,125.78
14-03-2018,178.44,125.70
15-03-2018,178.65,124.90
16-03-2018,178.02,124.60
19-03-2018,175.30,124.87
20-03-2018,175.24,124.31
21-03-2018,171.27,126.48
22-03-2018,168.85,125.98
23-03-2018,164.94,127.61
26-03-2018,172.77,128.28
27-03-2018,168.34,127.49
28-03-2018,166.48,125.73
29-03-2018,167.78,125.79
02-04-2018,166.68,127.26
03-04-2018,168.39,126.30
04-04-2018,171.61,126.45
05-04-2018,172.80,125.80
06-04-2018,168.38,126.39
09-04-2018,170.05,126.82
10-04-2018,173.25,127.12
11-04-2018,172.44,128.11
12-04-2018,174.14,126.62
13-04-2018,174.73,127.45
16-04-2018,175.82,127.63
17-04-2018,178.24,127.75
18-04-2018,177.84,127.85
19-04-2018,172.80,127.60
20-04-2018,165.72,126.63
23-04-2018,165.24,125.62
24-04-2018,162.94,126.23
25-04-2018,163.65,125.41
26-04-2018,164.22,124.97
27-04-2018,162.32,125.50
30-04-2018,165.26,124.59
01-05-2018,169.10,123.71
02-05-2018,176.57,123.65
03-05-2018,176.89,124.28
04-05-2018,183.83,124.54
07-05-2018,185.16,124.57
08-05-2018,186.05,124.59
09-05-2018,187.36,124.33
10-05-2018,190.04,125.18
11-05-2018,188.59,125.00
14-05-2018,188.15,124.49
15-05-2018,186.44,122.48
